CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município e Região
Período:Fev/2020
"Município";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"260765 Itambé";-;3;-;-;-;3
"260775 Itapissuma";-;5;-;-;-;5
"260780 Itaquitinga";-;5;-;-;-;5
"260790 Jaboatão dos Guararapes";-;42;-;-;-;42
"260795 Jaqueira";-;8;-;-;-;8
"260800 Jataúba";-;4;-;-;-;4
"260810 João Alfredo";-;3;-;-;-;3
"260830 Jupi";-;1;-;-;-;1
"260860 Lagoa do Ouro";-;1;-;-;-;1
"260890 Limoeiro";-;10;-;-;-;10
"260900 Macaparana";-;1;-;-;-;1
"260910 Machados";-;4;-;-;-;4
"260915 Manari";-;3;-;-;-;3
"261430 Moreilândia";-;2;-;-;-;2
"260940 Moreno";-;3;-;-;-;3
"260950 Nazaré da Mata";-;4;-;-;-;4
"260960 Olinda";-;20;-;-;-;20
"260990 Ouricuri";-;2;-;-;-;2
"261000 Palmares";-;3;-;-;-;3
"261020 Panelas";-;2;-;-;-;2
"261070 Paulista";-;9;-;-;-;9
"261110 Petrolina";-;44;-;-;-;44
"261120 Poção";-;2;-;-;-;2
"261130 Pombos";-;3;-;-;-;3
"261150 Quipapá";-;1;-;-;-;1
"261160 Recife";-;469;-;-;-;469
"261170 Riacho das Almas";-;3;-;-;-;3
"261180 Ribeirão";-;3;-;-;-;3
"261190 Rio Formoso";-;4;-;-;-;4
"261200 Sairé";-;2;-;-;-;2
"261220 Salgueiro";-;6;-;-;-;6
"261230 Saloá";-;4;-;-;-;4
"261240 Sanharó";-;2;-;-;-;2
"261245 Santa Cruz";-;1;-;-;-;1
"261250 Santa Cruz do Capibaribe";-;12;-;-;-;12
"261280 Santa Terezinha";-;1;-;-;-;1
"261310 São Caitano";-;3;-;-;-;3
"261320 São João";-;3;-;-;-;3
"261350 São José do Belmonte";-;2;-;-;-;2
"261360 São José do Egito";-;2;-;-;-;2
"261370 São Lourenço da Mata";-;15;-;-;-;15
"261380 São Vicente Ferrer";-;2;-;-;-;2
"261390 Serra Talhada";-;12;-;-;-;12
"261400 Serrita";-;2;-;-;-;2
"261420 Sirinhaém";-;1;-;-;-;1
"261460 Tabira";-;4;-;-;-;4
"261480 Tacaratu";-;2;-;-;-;2
"261485 Tamandaré";-;2;-;-;-;2
"261500 Taquaritinga do Norte";-;2;-;-;-;2
"261520 Terra Nova";-;1;-;-;-;1
"261560 Trindade";-;2;-;-;-;2
"261580 Tupanatinga";-;2;-;-;-;2
"261600 Venturosa";-;2;-;-;-;2
"261610 Verdejante";-;1;-;-;-;1
"261620 Vertentes";-;10;-;-;-;10
"261630 Vicência";-;2;-;-;-;2
"261640 Vitória de Santo Antão";-;2;-;-;-;2
"270010 Água Branca";-;4;-;-;-;4
"270020 Anadia";-;3;-;-;-;3
"270030 Arapiraca";-;14;-;-;-;14
"270040 Atalaia";-;8;-;-;-;8
"270050 Barra de Santo Antônio";-;2;-;-;-;2
"270070 Batalha";-;2;-;-;-;2
"270110 Branquinha";-;1;-;-;-;1
"270130 Cajueiro";-;2;-;-;-;2
"270140 Campo Alegre";-;5;-;-;-;5
"270170 Capela";-;2;-;-;-;2
"270210 Colônia Leopoldina";-;3;-;-;-;3
"270220 Coqueiro Seco";-;1;-;-;-;1
"270235 Craíbas";-;1;-;-;-;1
"270240 Delmiro Gouveia";-;4;-;-;-;4
"270280 Flexeiras";-;4;-;-;-;4
"270290 Girau do Ponciano";-;2;-;-;-;2
"270300 Ibateguara";-;4;-;-;-;4
"270310 Igaci";-;2;-;-;-;2
"270320 Igreja Nova";-;6;-;-;-;6
"270400 Junqueiro";-;2;-;-;-;2
"270420 Limoeiro de Anadia";-;2;-;-;-;2
"270430 Maceió";-;117;-;-;-;117
"270450 Maragogi";-;4;-;-;-;4
"270480 Maribondo";-;3;-;-;-;3
"270500 Mata Grande";-;3;-;-;-;3
"270550 Murici";-;4;-;-;-;4
"270570 Olho d'Água das Flores";-;2;-;-;-;2
"270630 Palmeira dos Índios";-;8;-;-;-;8
"270644 Paripueira";-;4;-;-;-;4
"270660 Paulo Jacinto";-;2;-;-;-;2
"270670 Penedo";-;11;-;-;-;11
"270690 Pilar";-;6;-;-;-;6
"270710 Piranhas";-;4;-;-;-;4
"270750 Porto Real do Colégio";-;4;-;-;-;4
"270760 Quebrangulo";-;2;-;-;-;2
"270800 Santana do Ipanema";-;4;-;-;-;4
"270830 São José da Laje";-;2;-;-;-;2
"270840 São José da Tapera";-;2;-;-;-;2
"270850 São Luís do Quitunde";-;1;-;-;-;1
"270860 São Miguel dos Campos";-;8;-;-;-;8
"270880 São Sebastião";-;4;-;-;-;4
"270920 Traipu";-;2;-;-;-;2
"270930 União dos Palmares";-;8;-;-;-;8
"270940 Viçosa";-;4;-;-;-;4
"280030 Aracaju";-;23;-;-;-;23
"280040 Arauá";-;6;-;-;-;6
"280060 Barra dos Coqueiros";-;5;-;-;-;5
"280067 Boquim";-;2;-;-;-;2
"280120 Canindé de São Francisco";-;4;-;-;-;4
"280210 Estância";-;10;-;-;-;10
"280230 Frei Paulo";-;6;-;-;-;6
"280290 Itabaiana";-;4;-;-;-;4
"280330 Japaratuba";-;8;-;-;-;8
"280340 Japoatã";-;6;-;-;-;6
"280350 Lagarto";-;26;-;-;-;26
"280360 Laranjeiras";-;3;-;-;-;3
"280400 Maruim";-;4;-;-;-;4
"280480 Nossa Senhora do Socorro";-;16;-;-;-;16
"280540 Poço Redondo";-;4;-;-;-;4
"280550 Poço Verde";-;12;-;-;-;12
"280560 Porto da Folha";-;4;-;-;-;4
"280570 Propriá";-;3;-;-;-;3
"280670 São Cristóvão";-;8;-;-;-;8
"280710 Simão Dias";-;2;-;-;-;2
"280760 Umbaúba";-;5;-;-;-;5
"290020 Abaré";-;2;-;-;-;2
"290040 Água Fria";-;6;-;-;-;6
"290070 Alagoinhas";-;34;-;-;-;34
"290100 Amargosa";-;4;-;-;-;4
"290110 Amélia Rodrigues";-;8;-;-;-;8
"290120 Anagé";-;5;-;-;-;5
"290130 Andaraí";-;1;-;-;-;1
"290135 Andorinha";-;2;-;-;-;2
"290150 Anguera";-;1;-;-;-;1
"290160 Antas";-;2;-;-;-;2
"290200 Aracatu";-;2;-;-;-;2
"290250 Baianópolis";-;2;-;-;-;2
"290270 Barra";-;9;-;-;-;9
"290320 Barreiras";-;10;-;-;-;10
"290350 Belo Campo";-;2;-;-;-;2
"290360 Biritinga";-;3;-;-;-;3
"290395 Bom Jesus da Serra";-;2;-;-;-;2
"290400 Boninal";-;2;-;-;-;2
"290405 Bonito";-;3;-;-;-;3
"290420 Botuporã";-;4;-;-;-;4
"290430 Brejões";-;2;-;-;-;2
"290460 Brumado";-;6;-;-;-;6
"290480 Caatiba";-;2;-;-;-;2
"290490 Cachoeira";-;4;-;-;-;4
"290500 Caculé";-;3;-;-;-;3
"290515 Caetanos";-;3;-;-;-;3
"290540 Cairu";-;4;-;-;-;4
"290560 Camacan";-;2;-;-;-;2
"290570 Camaçari";-;33;-;-;-;33
"290580 Camamu";-;6;-;-;-;6
"290590 Campo Alegre de Lourdes";-;4;-;-;-;4
"290610 Canápolis";-;4;-;-;-;4
"290620 Canarana";-;3;-;-;-;3
"290650 Candeias";-;4;-;-;-;4
"290680 Cansanção";-;3;-;-;-;3
"290682 Canudos";-;1;-;-;-;1
"290685 Capela do Alto Alegre";-;2;-;-;-;2
"290689 Caraíbas";-;1;-;-;-;1
"290700 Cardeal da Silva";-;4;-;-;-;4
"290710 Carinhanha";-;2;-;-;-;2
"290720 Casa Nova";-;5;-;-;-;5
"290750 Catu";-;13;-;-;-;13
"290780 Cícero Dantas";-;4;-;-;-;4
"290790 Cipó";-;4;-;-;-;4
"290800 Coaraci";-;7;-;-;-;7
"290810 Cocos";-;1;-;-;-;1
"290820 Conceição da Feira";-;14;-;-;-;14
"290830 Conceição do Almeida";-;4;-;-;-;4
"290840 Conceição do Coité";-;5;-;-;-;5
"290850 Conceição do Jacuípe";-;14;-;-;-;14
"290860 Conde";-;1;-;-;-;1
"290870 Condeúba";-;1;-;-;-;1
"290890 Coração de Maria";-;2;-;-;-;2
"290900 Cordeiros";-;3;-;-;-;3
"290910 Coribe";-;3;-;-;-;3
"290930 Correntina";-;2;-;-;-;2
"290960 Crisópolis";-;4;-;-;-;4
"290980 Cruz das Almas";-;1;-;-;-;1
"291005 Dias d'Ávila";-;15;-;-;-;15
"291050 Entre Rios";-;9;-;-;-;9
"291060 Esplanada";-;1;-;-;-;1
"291070 Euclides da Cunha";-;7;-;-;-;7
"291072 Eunápolis";-;13;-;-;-;13
"291080 Feira de Santana";-;55;-;-;-;55
"291110 Formosa do Rio Preto";-;2;-;-;-;2
"291120 Gandu";-;2;-;-;-;2
"291150 Gongogi";-;3;-;-;-;3
"291170 Guanambi";-;17;-;-;-;17
"291190 Iaçu";-;6;-;-;-;6
"291200 Ibiassucê";-;6;-;-;-;6
"291210 Ibicaraí";-;5;-;-;-;5
"291280 Ibirapuã";-;3;-;-;-;3
"291290 Ibirataia";-;13;-;-;-;13
"291320 Ibotirama";-;4;-;-;-;4
"291330 Ichu";-;2;-;-;-;2
"291340 Igaporã";-;1;-;-;-;1
"291350 Iguaí";-;2;-;-;-;2
"291360 Ilhéus";-;18;-;-;-;18
"291380 Ipecaetá";-;4;-;-;-;4
"291390 Ipiaú";-;5;-;-;-;5
"291400 Ipirá";-;9;-;-;-;9
"291410 Ipupiara";-;3;-;-;-;3
"291420 Irajuba";-;1;-;-;-;1
"291440 Iraquara";-;1;-;-;-;1
"291450 Irará";-;1;-;-;-;1
"291460 Irecê";-;10;-;-;-;10
"291470 Itaberaba";-;1;-;-;-;1
"291480 Itabuna";-;4;-;-;-;4
"291500 Itaeté";-;4;-;-;-;4
"291530 Itagimirim";-;1;-;-;-;1
"291550 Itajuípe";-;3;-;-;-;3
"291560 Itamaraju";-;2;-;-;-;2
"291600 Itanhém";-;1;-;-;-;1
"291610 Itaparica";-;5;-;-;-;5
"291620 Itapé";-;3;-;-;-;3
"291640 Itapetinga";-;3;-;-;-;3
"291650 Itapicuru";-;4;-;-;-;4
"291660 Itapitanga";-;1;-;-;-;1
"291680 Itarantim";-;1;-;-;-;1
"291690 Itiruçu";-;5;-;-;-;5
"291700 Itiúba";-;1;-;-;-;1
"291710 Itororó";-;2;-;-;-;2
"291730 Ituberá";-;5;-;-;-;5
"291735 Jaborandi";-;4;-;-;-;4
"291750 Jacobina";-;26;-;-;-;26
"291760 Jaguaquara";-;7;-;-;-;7
"291770 Jaguarari";-;2;-;-;-;2
"291800 Jequié";-;24;-;-;-;24
"291810 Jeremoabo";-;2;-;-;-;2
"291830 Jitaúna";-;3;-;-;-;3
"291840 Juazeiro";-;21;-;-;-;21
"291845 Jucuruçu";-;2;-;-;-;2
"291855 Jussari";-;3;-;-;-;3
"291860 Jussiape";-;6;-;-;-;6
"291880 Laje";-;1;-;-;-;1
"291920 Lauro de Freitas";-;23;-;-;-;23
"291930 Lençóis";-;2;-;-;-;2
"291940 Licínio de Almeida";-;2;-;-;-;2
"291950 Livramento de Nossa Senhora";-;8;-;-;-;8
"291980 Macaúbas";-;6;-;-;-;6
"291990 Macururé";-;3;-;-;-;3
"291992 Madre de Deus";-;1;-;-;-;1
"291995 Maetinga";-;2;-;-;-;2
"292000 Maiquinique";-;2;-;-;-;2
"292010 Mairi";-;2;-;-;-;2
"292020 Malhada";-;2;-;-;-;2
"292050 Maracás";-;7;-;-;-;7
"292060 Maragogipe";-;2;-;-;-;2
"292080 Marcionílio Souza";-;1;-;-;-;1
"292100 Mata de São João";-;4;-;-;-;4
"292105 Matina";-;4;-;-;-;4
"292110 Medeiros Neto";-;1;-;-;-;1
"292130 Milagres";-;4;-;-;-;4
"292145 Mirante";-;1;-;-;-;1
"292150 Monte Santo";-;5;-;-;-;5
"292190 Mucugê";-;3;-;-;-;3
"292200 Mucuri";-;10;-;-;-;10
"292210 Mundo Novo";-;3;-;-;-;3
"292230 Muritiba";-;3;-;-;-;3
"292250 Nazaré";-;1;-;-;-;1
"292260 Nilo Peçanha";-;3;-;-;-;3
"292265 Nordestina";-;3;-;-;-;3
"292270 Nova Canaã";-;3;-;-;-;3
"292273 Nova Fátima";-;3;-;-;-;3
"292275 Nova Ibiá";-;6;-;-;-;6
"292290 Nova Soure";-;2;-;-;-;2
"292300 Nova Viçosa";-;6;-;-;-;6
"292340 Palmas de Monte Alto";-;4;-;-;-;4
"292360 Paramirim";-;7;-;-;-;7
"292370 Paratinga";-;3;-;-;-;3
"292390 Pau Brasil";-;2;-;-;-;2
"292400 Paulo Afonso";-;3;-;-;-;3
"292440 Pilão Arcado";-;3;-;-;-;3
"292450 Pindaí";-;2;-;-;-;2
"292470 Piripá";-;2;-;-;-;2
"292480 Piritiba";-;3;-;-;-;3
"292490 Planaltino";-;3;-;-;-;3
"292510 Poções";-;4;-;-;-;4
"292520 Pojuca";-;18;-;-;-;18
"292525 Ponto Novo";-;2;-;-;-;2
"292530 Porto Seguro";-;13;-;-;-;13
"292540 Potiraguá";-;1;-;-;-;1
"292550 Prado";-;9;-;-;-;9
"292575 Presidente Tancredo Neves";-;4;-;-;-;4
"292595 Rafael Jambeiro";-;1;-;-;-;1
"292600 Remanso";-;7;-;-;-;7
"292630 Riachão do Jacuípe";-;2;-;-;-;2
"292640 Riacho de Santana";-;1;-;-;-;1
"292660 Ribeira do Pombal";-;2;-;-;-;2
"292700 Rio Real";-;13;-;-;-;13
"292720 Ruy Barbosa";-;4;-;-;-;4
"292740 Salvador";-;473;-;-;-;473
"292750 Santa Bárbara";-;1;-;-;-;1
"292770 Santa Cruz Cabrália";-;3;-;-;-;3
"292780 Santa Cruz da Vitória";-;4;-;-;-;4
"292790 Santa Inês";-;2;-;-;-;2
"292810 Santa Maria da Vitória";-;10;-;-;-;10
"292840 Santa Rita de Cássia";-;3;-;-;-;3
"292850 Santa Teresinha";-;2;-;-;-;2
"292800 Santaluz";-;1;-;-;-;1
"292820 Santana";-;3;-;-;-;3
"292830 Santanópolis";-;1;-;-;-;1
"292860 Santo Amaro";-;5;-;-;-;5
"292870 Santo Antônio de Jesus";-;34;-;-;-;34
"292880 Santo Estêvão";-;15;-;-;-;15
"292890 São Desidério";-;1;-;-;-;1
"292900 São Félix";-;1;-;-;-;1
"292905 São Félix do Coribe";-;2;-;-;-;2
"292920 São Francisco do Conde";-;2;-;-;-;2
"292930 São Gonçalo dos Campos";-;3;-;-;-;3
"292940 São Miguel das Matas";-;2;-;-;-;2
"292970 Sátiro Dias";-;8;-;-;-;8
"292980 Saúde";-;1;-;-;-;1
"293010 Senhor do Bonfim";-;3;-;-;-;3
"293020 Sento Sé";-;6;-;-;-;6
"293015 Serra do Ramalho";-;8;-;-;-;8
"293050 Serrinha";-;13;-;-;-;13
"293060 Serrolândia";-;2;-;-;-;2
"293070 Simões Filho";-;9;-;-;-;9
"293076 Sítio do Quinto";-;2;-;-;-;2
"293077 Sobradinho";-;1;-;-;-;1
"293090 Tabocas do Brejo Velho";-;3;-;-;-;3
"293105 Tanque Novo";-;8;-;-;-;8
"293130 Tapiramutá";-;1;-;-;-;1
"293135 Teixeira de Freitas";-;25;-;-;-;25
"293140 Teodoro Sampaio";-;2;-;-;-;2
"293160 Teolândia";-;1;-;-;-;1
"293180 Tremedal";-;3;-;-;-;3
"293190 Tucano";-;8;-;-;-;8
"293230 Ubatã";-;3;-;-;-;3
"293240 Uibaí";-;1;-;-;-;1
"293250 Una";-;4;-;-;-;4
"293270 Uruçuca";-;5;-;-;-;5
"293280 Utinga";-;3;-;-;-;3
"293290 Valença";-;5;-;-;-;5
"293300 Valente";-;12;-;-;-;12
"293305 Várzea da Roça";-;2;-;-;-;2
"293310 Várzea do Poço";-;2;-;-;-;2
"293315 Várzea Nova";-;16;-;-;-;16
"293320 Vera Cruz";-;4;-;-;-;4
"293325 Vereda";-;2;-;-;-;2
"293330 Vitória da Conquista";-;16;-;-;-;16
"293340 Wagner";-;4;-;-;-;4
"293350 Wenceslau Guimarães";-;1;-;-;-;1
"293360 Xique-Xique";-;3;-;-;-;3
"310020 Abaeté";-;-;5;-;-;5
"310070 Água Comprida";-;-;2;-;-;2
"310100 Águas Vermelhas";-;-;6;-;-;6
"310110 Aimorés";-;-;3;-;-;3
"310160 Alfenas";-;-;4;-;-;4
"310170 Almenara";-;-;4;-;-;4
"310230 Alvinópolis";-;-;1;-;-;1
"310310 Antônio Prado de Minas";-;-;4;-;-;4
"310340 Araçuaí";-;-;4;-;-;4
"310350 Araguari";-;-;12;-;-;12
"310390 Araújos";-;-;4;-;-;4
"310400 Araxá";-;-;9;-;-;9
"310410 Arceburgo";-;-;4;-;-;4
"310430 Areado";-;-;2;-;-;2
"310460 Astolfo Dutra";-;-;3;-;-;3
"310470 Ataléia";-;-;4;-;-;4
"310490 Baependi";-;-;3;-;-;3
"310510 Bambuí";-;-;6;-;-;6
"310520 Bandeira";-;-;2;-;-;2
"310540 Barão de Cocais";-;-;1;-;-;1
"310560 Barbacena";-;-;36;-;-;36
"310570 Barra Longa";-;-;6;-;-;6
"310590 Barroso";-;-;3;-;-;3
"310620 Belo Horizonte";-;-;498;-;-;498
"310670 Betim";-;-;99;-;-;99
"310690 Bicas";-;-;2;-;-;2
"310710 Boa Esperança";-;-;4;-;-;4
"310730 Bocaiúva";-;-;2;-;-;2
"310740 Bom Despacho";-;-;2;-;-;2
"310760 Bom Jesus da Penha";-;-;2;-;-;2
"310800 Bom Sucesso";-;-;2;-;-;2
"310830 Borda da Mata";-;-;19;-;-;19
"310890 Brazópolis";-;-;4;-;-;4
"310900 Brumadinho";-;-;2;-;-;2
"310910 Bueno Brandão";-;-;3;-;-;3
"310930 Buritis";-;-;2;-;-;2
"310940 Buritizeiro";-;-;2;-;-;2
"310270 Cachoeira de Pajeú";-;-;1;-;-;1
"310990 Caetanópolis";-;-;3;-;-;3
"311000 Caeté";-;-;2;-;-;2
"311050 Camanducaia";-;-;5;-;-;5
"311060 Cambuí";-;-;6;-;-;6
"311090 Campanha";-;-;1;-;-;1
"311100 Campestre";-;-;5;-;-;5
"311120 Campo Belo";-;-;5;-;-;5
"311150 Campos Altos";-;-;2;-;-;2
"311160 Campos Gerais";-;-;1;-;-;1
"311180 Canápolis";-;-;2;-;-;2
"311230 Capelinha";-;-;3;-;-;3
"311250 Capim Branco";-;-;2;-;-;2
"311260 Capinópolis";-;-;3;-;-;3
"311270 Capitão Enéas";-;-;1;-;-;1
"311320 Carandaí";-;-;3;-;-;3
"311330 Carangola";-;-;1;-;-;1
"311340 Caratinga";-;-;2;-;-;2
"311350 Carbonita";-;-;1;-;-;1
"311390 Carmo da Cachoeira";-;-;3;-;-;3
"311410 Carmo de Minas";-;-;5;-;-;5
"311430 Carmo do Paranaíba";-;-;2;-;-;2
"311480 Carvalhos";-;-;2;-;-;2
"311530 Cataguases";-;-;3;-;-;3
"311580 Centralina";-;-;2;-;-;2
"311615 Chapada Gaúcha";-;-;5;-;-;5
"311640 Claraval";-;-;1;-;-;1
"311660 Cláudio";-;-;4;-;-;4
"311700 Comercinho";-;-;3;-;-;3
"311710 Conceição da Aparecida";-;-;1;-;-;1
"311730 Conceição das Alagoas";-;-;3;-;-;3
"311800 Congonhas";-;-;17;-;-;17
"311820 Conquista";-;-;1;-;-;1
"311830 Conselheiro Lafaiete";-;-;19;-;-;19
"311860 Contagem";-;-;6;-;-;6
"311880 Coração de Jesus";-;-;6;-;-;6
"311890 Cordisburgo";-;-;15;-;-;15
"311920 Coroaci";-;-;1;-;-;1
"311930 Coromandel";-;-;2;-;-;2
"311940 Coronel Fabriciano";-;-;13;-;-;13
"311995 Córrego Fundo";-;-;1;-;-;1
"312090 Curvelo";-;-;4;-;-;4
"312140 Desterro de Entre Rios";-;-;3;-;-;3
"312160 Diamantina";-;-;8;-;-;8
"312180 Dionísio";-;-;1;-;-;1
"312230 Divinópolis";-;-;13;-;-;13
"312270 Dom Silvério";-;-;1;-;-;1
"312390 Entre Rios de Minas";-;-;1;-;-;1
"312400 Ervália";-;-;6;-;-;6
"312410 Esmeraldas";-;-;8;-;-;8
"312420 Espera Feliz";-;-;6;-;-;6
"312430 Espinosa";-;-;30;-;-;30
"312450 Estiva";-;-;2;-;-;2
"312480 Estrela do Sul";-;-;1;-;-;1
"312560 Felisburgo";-;-;2;-;-;2
"312590 Ferros";-;-;4;-;-;4
"312610 Formiga";-;-;10;-;-;10
"312620 Formoso";-;-;1;-;-;1
"312650 Francisco Badaró";-;-;1;-;-;1
"312670 Francisco Sá";-;-;3;-;-;3
"312760 Gouveia";-;-;1;-;-;1
"312770 Governador Valadares";-;-;40;-;-;40
"312800 Guanhães";-;-;3;-;-;3
"312830 Guaranésia";-;-;2;-;-;2
"312970 Ibiraci";-;-;3;-;-;3
"312980 Ibirité";-;-;21;-;-;21
"313010 Igarapé";-;-;1;-;-;1
"313020 Igaratinga";-;-;3;-;-;3
"313090 Inhapim";-;-;2;-;-;2
"313130 Ipatinga";-;-;81;-;-;81
"313140 Ipiaçu";-;-;2;-;-;2
"313170 Itabira";-;-;34;-;-;34
"313190 Itabirito";-;-;10;-;-;10
"313240 Itajubá";-;-;13;-;-;13
"313260 Itamarati de Minas";-;-;3;-;-;3
"313270 Itambacuri";-;-;5;-;-;5
"313280 Itambé do Mato Dentro";-;-;3;-;-;3
"313300 Itamonte";-;-;4;-;-;4
"313330 Itaobim";-;-;3;-;-;3
"313340 Itapagipe";-;-;1;-;-;1
"313350 Itapecerica";-;-;2;-;-;2
"313380 Itaúna";-;-;6;-;-;6
"313420 Ituiutaba";-;-;10;-;-;10
"313470 Jacinto";-;-;3;-;-;3
"313490 Jacutinga";-;-;4;-;-;4
"313510 Janaúba";-;-;11;-;-;11
"313520 Januária";-;-;24;-;-;24
"313540 Jeceaba";-;-;2;-;-;2
"313600 Joaíma";-;-;3;-;-;3
"313620 João Monlevade";-;-;1;-;-;1
"313630 João Pinheiro";-;-;2;-;-;2
"313650 Jordânia";-;-;2;-;-;2
"313665 Juatuba";-;-;2;-;-;2
"313670 Juiz de Fora";-;-;61;-;-;61
"313730 Lagoa dos Patos";-;-;4;-;-;4
"313760 Lagoa Santa";-;-;7;-;-;7
"313770 Lajinha";-;-;9;-;-;9
"313780 Lambari";-;-;1;-;-;1
"313800 Laranjal";-;-;1;-;-;1
"313820 Lavras";-;-;17;-;-;17
"313860 Lima Duarte";-;-;1;-;-;1
"313880 Luz";-;-;3;-;-;3
"313890 Machacalis";-;-;2;-;-;2
"313900 Machado";-;-;2;-;-;2
"313930 Manga";-;-;6;-;-;6
"313940 Manhuaçu";-;-;9;-;-;9
"313990 Maria da Fé";-;-;6;-;-;6
"314000 Mariana";-;-;3;-;-;3
"314050 Martinho Campos";-;-;7;-;-;7
"314070 Mateus Leme";-;-;3;-;-;3
"314080 Matias Barbosa";-;-;1;-;-;1
"314085 Matias Cardoso";-;-;4;-;-;4
"314110 Matozinhos";-;-;1;-;-;1
"314130 Medeiros";-;-;2;-;-;2
"314140 Medina";-;-;4;-;-;4
"314180 Minas Novas";-;-;1;-;-;1
"314260 Monsenhor Paulo";-;-;4;-;-;4
"314280 Monte Alegre de Minas";-;-;6;-;-;6
"314290 Monte Azul";-;-;6;-;-;6
"314310 Monte Carmelo";-;-;2;-;-;2
"314340 Monte Sião";-;-;4;-;-;4
"314330 Montes Claros";-;-;20;-;-;20
"314390 Muriaé";-;-;27;-;-;27
"314410 Muzambinho";-;-;4;-;-;4
"314440 Natércia";-;-;4;-;-;4
"314450 Nazareno";-;-;2;-;-;2
"314470 Nova Era";-;-;6;-;-;6
"314480 Nova Lima";-;-;16;-;-;16
"314500 Nova Ponte";-;-;2;-;-;2
"314520 Nova Serrana";-;-;8;-;-;8
"314560 Oliveira";-;-;2;-;-;2
"314590 Ouro Branco";-;-;5;-;-;5
"314610 Ouro Preto";-;-;7;-;-;7
"314630 Padre Paraíso";-;-;3;-;-;3
"314670 Palma";-;-;2;-;-;2
"314710 Pará de Minas";-;-;9;-;-;9
"314700 Paracatu";-;-;1;-;-;1
"314720 Paraguaçu";-;-;2;-;-;2
"314730 Paraisópolis";-;-;2;-;-;2
"314770 Passa Tempo";-;-;1;-;-;1
"314790 Passos";-;-;10;-;-;10
"314800 Patos de Minas";-;-;18;-;-;18
"314810 Patrocínio";-;-;3;-;-;3
"314870 Pedra Azul";-;-;6;-;-;6
"314930 Pedro Leopoldo";-;-;28;-;-;28
"314970 Perdigão";-;-;2;-;-;2
"314990 Perdões";-;-;1;-;-;1
"315015 Piedade de Caratinga";-;-;3;-;-;3
"315030 Piedade do Rio Grande";-;-;3;-;-;3
"315110 Pirapetinga";-;-;2;-;-;2
"315130 Piraúba";-;-;3;-;-;3
"315150 Piumhi";-;-;2;-;-;2
"315160 Planura";-;-;4;-;-;4
"315180 Poços de Caldas";-;-;56;-;-;56
"315190 Pocrane";-;-;1;-;-;1
"315200 Pompéu";-;-;5;-;-;5
"315210 Ponte Nova";-;-;8;-;-;8
"315220 Porteirinha";-;-;2;-;-;2
"315250 Pouso Alegre";-;-;10;-;-;10
"315310 Presidente Bernardes";-;-;1;-;-;1
"315400 Raul Soares";-;-;2;-;-;2
"315420 Resende Costa";-;-;4;-;-;4
"315460 Ribeirão das Neves";-;-;7;-;-;7
"315470 Ribeirão Vermelho";-;-;1;-;-;1
"315480 Rio Acima";-;-;8;-;-;8
"315670 Sabará";-;-;19;-;-;19
"315690 Sacramento";-;-;1;-;-;1
"315700 Salinas";-;-;11;-;-;11
"315710 Salto da Divisa";-;-;3;-;-;3
"315780 Santa Luzia";-;-;8;-;-;8
"315800 Santa Maria de Itabira";-;-;2;-;-;2
"315810 Santa Maria do Salto";-;-;5;-;-;5
"315920 Santa Rita de Caldas";-;-;3;-;-;3
"315900 Santana do Riacho";-;-;8;-;-;8
"316040 Santo Antônio do Monte";-;-;2;-;-;2
"316045 Santo Antônio do Retiro";-;-;2;-;-;2
"316070 Santos Dumont";-;-;3;-;-;3
"316100 São Domingos do Prata";-;-;1;-;-;1
"316110 São Francisco";-;-;2;-;-;2
"316190 São Gonçalo do Rio Abaixo";-;-;2;-;-;2
"316210 São Gotardo";-;-;1;-;-;1
"316250 São João del Rei";-;-;12;-;-;12
"316257 São João do Manteninha";-;-;3;-;-;3
"316270 São João do Paraíso";-;-;4;-;-;4
"316280 São João Evangelista";-;-;7;-;-;7
"316292 São Joaquim de Bicas";-;-;8;-;-;8
"316370 São Lourenço";-;-;12;-;-;12
"316390 São Pedro da União";-;-;2;-;-;2
"316470 São Sebastião do Paraíso";-;-;16;-;-;16
"316530 São Vicente de Minas";-;-;1;-;-;1
"316600 Senhora de Oliveira";-;-;1;-;-;1
"316640 Seritinga";-;-;1;-;-;1
"316690 Serrania";-;-;1;-;-;1
"316720 Sete Lagoas";-;-;10;-;-;10
"316800 Taiobeiras";-;-;6;-;-;6
"316860 Teófilo Otoni";-;-;10;-;-;10
"316870 Timóteo";-;-;10;-;-;10
"316970 Turmalina";-;-;1;-;-;1
"316990 Ubá";-;-;5;-;-;5
"317010 Uberaba";-;-;91;-;-;91
"317020 Uberlândia";-;-;57;-;-;57
"317040 Unaí";-;-;2;-;-;2
"317070 Varginha";-;-;30;-;-;30
"317080 Várzea da Palma";-;-;13;-;-;13
"317120 Vespasiano";-;-;21;-;-;21
"317130 Viçosa";-;-;10;-;-;10
"317160 Virgem da Lapa";-;-;3;-;-;3
"317170 Virgínia";-;-;11;-;-;11
"317180 Virginópolis";-;-;4;-;-;4
"317200 Visconde do Rio Branco";-;-;1;-;-;1
